order_id,city,order_date,order_time,delivery_partner,distance_km,prep_time_min,estimated_eta_min,actual_delivery_time_min,on_time,cancelled,cancellation_reason,order_value,delivery_fee,customer_rating,payment_method,restaurant_category,weather,peak_hour
1,Pune,12/17/2025,8:40 PM,DP045,25.17,56,47,90,true,false,Weather,1387.63,27.1,4.2,UPI,Snacks,Rainy,false
2,Lucknow,12/10/2025,5:58 PM,DP016,19.23,2,60,89,true,false,Restaurant,427.76,18.91,3.1,Card,Dairy,Rainy,true
3,Chennai,9/21/2025,12:07 AM,DP035,28.55,7,31,54,true,false,Restaurant,338.49,67.11,3.9,UPI,Bakery,Rainy,false
4,Mumbai,11/2/2025,2:50 PM,DP035,19.54,6,56,23,true,true,Customer,685.41,40.02,3.0,Card,Bakery,Clear,true
5,Chennai,4/17/2025,8:29 AM,DP047,15.22,55,53,35,false,true,Restaurant,105.65,54.54,2.2,UPI,Pharmacy,Rainy,true
6,Bengaluru,10/20/2025,11:18 PM,DP023,16.98,43,57,26,false,false,Rider,1434.34,79.4,1.3,Cash,Pharmacy,Clear,true
7,Ahmedabad,6/17/2025,7:16 AM,DP032,24.46,37,53,43,false,false,Rider,1444.72,39.04,2.9,Card,Snacks,Rainy,true
8,Ahmedabad,6/13/2025,11:37 AM,DP026,20.82,17,40,32,true,false,Customer,256.92,44.66,1.4,Card,Snacks,Clear,true
9,Pune,9/22/2025,1:41 PM,DP004,6.41,33,29,46,false,true,Weather,173.03,70.86,4.3,Cash,Pharmacy,Clear,true
10,Bengaluru,12/1/2025,11:29 AM,DP047,10.71,16,42,85,true,false,Weather,579.99,78.39,1.3,UPI,Pharmacy,Clear,true
11,Jaipur,3/13/2025,7:41 PM,DP031,22.43,45,50,60,false,false,Rider,416.08,52.7,3.4,Card,Dairy,Rainy,true
12,Lucknow,5/8/2025,11:31 PM,DP004,10.64,1,28,22,true,false,Rider,227.8,44.04,1.1,UPI,Pharmacy,Clear,false
13,Kolkata,12/19/2025,7:52 PM,DP004,21.59,21,56,17,false,true,Rider,212.55,48.23,4.1,UPI,Snacks,Clear,true
14,Bengaluru,7/4/2025,8:13 PM,DP002,13.56,4,45,54,true,false,Weather,1211.49,67.42,2.3,Cash,Bakery,Clear,false
15,Jaipur,9/12/2025,8:18 PM,DP049,6.5,18,17,83,false,false,Weather,1085.33,65.72,4.8,Cash,Bakery,Rainy,true
16,Chennai,3/10/2025,4:13 AM,DP037,28.24,29,45,27,true,true,Restaurant,641.53,18.65,4.2,Cash,Bakery,Rainy,false
17,Chennai,9/9/2025,6:15 AM,DP039,18.46,39,38,58,false,true,Weather,472.05,63.31,2.9,UPI,Dairy,Clear,false
18,Kolkata,9/25/2025,7:31 AM,DP024,2.84,52,15,61,false,true,Restaurant,1036.53,46.84,1.1,UPI,Dairy,Rainy,false
19,Kolkata,10/7/2025,12:19 PM,DP037,24.17,4,13,18,true,true,Rider,1328.83,57.83,1.5,UPI,Snacks,Clear,false
20,Jaipur,5/30/2025,7:16 PM,DP038,10.54,32,26,20,true,false,Customer,1307.08,73.83,2.3,Card,Snacks,Rainy,true
21,Bengaluru,6/10/2025,6:01 PM,DP041,22.92,15,24,43,false,true,Restaurant,903.17,48.56,2.3,Cash,Pharmacy,Clear,true
22,Pune,2/20/2025,12:34 AM,DP022,27.93,50,33,76,false,false,Rider,994.54,38.06,3.0,Card,Grocery,Rainy,false
23,Pune,2/19/2025,1:01 AM,DP031,6.54,45,36,71,false,true,Restaurant,128.86,47.31,3.1,UPI,Dairy,Rainy,true
24,Lucknow,2/10/2025,3:01 AM,DP033,2.52,24,40,10,true,false,Customer,282.49,46.43,1.1,Card,Pharmacy,Rainy,false
25,Bengaluru,7/31/2025,3:14 AM,DP018,20.16,13,44,57,true,false,Rider,542.75,69.23,1.5,UPI,Grocery,Rainy,false
26,Hyderabad,2/25/2025,5:19 AM,DP005,14.92,32,51,49,true,false,Rider,544.17,64.0,4.6,Card,Dairy,Clear,true
27,Mumbai,3/20/2025,5:21 AM,DP004,15.09,56,16,40,true,false,Customer,193.92,56.15,1.8,Cash,Snacks,Rainy,false
28,Kolkata,5/8/2025,5:39 AM,DP050,19.18,18,47,53,true,false,Rider,573.13,50.87,4.1,Cash,Pharmacy,Rainy,true
